omapId,url,organ,tissuePreservationMethod,imagingMethod,csv,xlsx,representativeDataset,as,ct,bp,csvLabel,rpLabel
OMAP-1,https://purl.humanatlas.io/omap/1-human-lymph-node-ibex/v1.5,lymph node,1% PFA fixed frozen,IBEX,https://cdn.humanatlas.io/hra-kg--staging/omap/1-human-lymph-node-ibex/v1.5/assets/omap-1-human-lymph-node-ibex.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/1-human-lymph-node-ibex/v1.5/assets/omap-1-human-lymph-node-ibex.xlsx,TODO: Ellen fills in,,,39,CSV,Link
OMAP-2,https://purl.humanatlas.io/omap/2-intestine-codex/v1.6,intestine,Fresh frozen,CODEX,https://cdn.humanatlas.io/hra-kg--staging/omap/2-intestine-codex/v1.6/assets/omap-2-intestine-codex.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/2-intestine-codex/v1.6/assets/omap-2-intestine-codex.xlsx,TODO: Ellen fills in,,,62,CSV,Link
OMAP-3,https://purl.humanatlas.io/omap/3-kidney-codex/v1.4,kidney,Fresh frozen,CODEX,https://cdn.humanatlas.io/hra-kg--staging/omap/3-kidney-codex/v1.4/assets/omap-3-kidney-codex.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/3-kidney-codex/v1.4/assets/omap-3-kidney-codex.xlsx,TODO: Ellen fills in,,,24,CSV,Link
OMAP-4,https://purl.humanatlas.io/omap/4-skin-cell-dive/v1.4,skin of body,FFPE,Cell DIVE,https://cdn.humanatlas.io/hra-kg--staging/omap/4-skin-cell-dive/v1.4/assets/omap-4-skin-cell-dive.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/4-skin-cell-dive/v1.4/assets/omap-4-skin-cell-dive.xlsx,TODO: Ellen fills in,,,49,CSV,Link
OMAP-5,https://purl.humanatlas.io/omap/5-liver-sims/v1.4,liver,Fresh frozen,SIMS,https://cdn.humanatlas.io/hra-kg--staging/omap/5-liver-sims/v1.4/assets/omap-5-liver-sims.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/5-liver-sims/v1.4/assets/omap-5-liver-sims.xlsx,TODO: Ellen fills in,,,20,CSV,Link
OMAP-6,https://purl.humanatlas.io/omap/6-pancreas-codex/v1.4,pancreas,FFPE,CODEX,https://cdn.humanatlas.io/hra-kg--staging/omap/6-pancreas-codex/v1.4/assets/omap-6-pancreas-codex.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/6-pancreas-codex/v1.4/assets/omap-6-pancreas-codex.xlsx,TODO: Ellen fills in,,,11,CSV,Link
OMAP-7,https://purl.humanatlas.io/omap/7-lung-cell-dive/v1.4,lung,FFPE,Cell DIVE,https://cdn.humanatlas.io/hra-kg--staging/omap/7-lung-cell-dive/v1.4/assets/omap-7-lung-cell-dive.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/7-lung-cell-dive/v1.4/assets/omap-7-lung-cell-dive.xlsx,TODO: Ellen fills in,,,57,CSV,Link
OMAP-8,https://purl.humanatlas.io/omap/8-placenta-full-term-imc/v1.2,placenta,FFPE,IMC,https://cdn.humanatlas.io/hra-kg--staging/omap/8-placenta-full-term-imc/v1.2/assets/omap-8-placenta-full-term-imc.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/8-placenta-full-term-imc/v1.2/assets/omap-8-placenta-full-term-imc.xlsx,TODO: Ellen fills in,,,41,CSV,Link
OMAP-9,https://purl.humanatlas.io/omap/9-kidney-codex/v1.4,kidney,Fresh Frozen,CODEX,https://cdn.humanatlas.io/hra-kg--staging/omap/9-kidney-codex/v1.4/assets/omap-9-kidney-codex.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/9-kidney-codex/v1.4/assets/omap-9-kidney-codex.xlsx,TODO: Ellen fills in,,,41,CSV,Link
OMAP-10,https://purl.humanatlas.io/omap/10-palatine-tonsil-mics/v1.2,palatine tonsil,1% PFA fixed frozen,MICS,https://cdn.humanatlas.io/hra-kg--staging/omap/10-palatine-tonsil-mics/v1.2/assets/omap-10-palatine-tonsil-mics.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/10-palatine-tonsil-mics/v1.2/assets/omap-10-palatine-tonsil-mics.xlsx,TODO: Ellen fills in,,,33,CSV,Link
OMAP-11,https://purl.humanatlas.io/omap/11-spleen-ibex/v1.2,spleen,1% PFA fixed frozen,IBEX,https://cdn.humanatlas.io/hra-kg--staging/omap/11-spleen-ibex/v1.2/assets/omap-11-spleen-ibex.csv,https://cdn.humanatlas.io/hra-kg--staging/omap/11-spleen-ibex/v1.2/assets/omap-11-spleen-ibex.xlsx,TODO: Ellen fills in,,,25,CSV,Link
