Organ,csv,table_version,AS,CT,B_Total,BG,BP,BM,BF,BL,ASWithNoLink,CTWithNoLink,BWithNoLink,ASWithNoCT,CTWithNoB,AS_AS,AS_CT,CT_BM,url
allen brain,https://cdn.humanatlas.io/digital-objects/asct-b/allen-brain/v1.7/assets/asct-b-allen-brain.csv,v1.7,194,624,773,773,0,0,0,0,18,0,133,175,41,194,2467,1664,https://purl.humanatlas.io/asct-b/allen-brain/v1.7
anatomical systems,https://cdn.humanatlas.io/digital-objects/asct-b/anatomical-systems/v1.1/assets/asct-b-vh-anatomical-systems.csv,v1.1,108,2,1,1,0,0,0,0,0,0,0,62,2,106,0,0,https://purl.humanatlas.io/asct-b/anatomical-systems/v1.1
blood pelvis,https://cdn.humanatlas.io/digital-objects/asct-b/blood-pelvis/v1.4/assets/asct-b-vh-blood-pelvis.csv,v1.4,6,31,140,106,34,0,0,0,0,0,0,5,8,3,29,304,https://purl.humanatlas.io/asct-b/blood-pelvis/v1.4
blood vasculature,https://cdn.humanatlas.io/digital-objects/asct-b/blood-vasculature/v1.7/assets/asct-b-vh-blood-vasculature.csv,v1.7,1061,12,11,11,0,0,0,0,210,0,0,4,8,1082,3677,11,https://purl.humanatlas.io/asct-b/blood-vasculature/v1.7
bone marrow,https://cdn.humanatlas.io/digital-objects/asct-b/bone-marrow/v1.5/assets/asct-b-vh-bone-marrow.csv,v1.5,5,49,231,179,52,0,0,0,0,0,0,4,7,1,47,558,https://purl.humanatlas.io/asct-b/bone-marrow/v1.5
eye,https://cdn.humanatlas.io/digital-objects/asct-b/eye/v1.4/assets/asct-b-vh-eye.csv,v1.4,47,36,154,59,76,6,5,8,2,1,21,15,9,44,112,167,https://purl.humanatlas.io/asct-b/eye/v1.4
fallopian tube,https://cdn.humanatlas.io/digital-objects/asct-b/fallopian-tube/v1.4/assets/asct-b-fallopian-tube.csv,v1.4,78,21,27,14,13,0,0,0,63,1,0,48,4,78,216,27,https://purl.humanatlas.io/asct-b/fallopian-tube/v1.4
heart,https://cdn.humanatlas.io/digital-objects/asct-b/heart/v1.5/assets/asct-b-vh-heart.csv,v1.5,53,30,46,46,0,0,0,0,0,0,1,4,8,64,307,77,https://purl.humanatlas.io/asct-b/heart/v1.5
kidney,https://cdn.humanatlas.io/digital-objects/asct-b/kidney/v1.6/assets/asct-b-vh-kidney.csv,v1.6,67,72,187,186,1,0,0,0,2,3,0,6,4,76,260,330,https://purl.humanatlas.io/asct-b/kidney/v1.6
knee,https://cdn.humanatlas.io/digital-objects/asct-b/knee/v1.3/assets/asct-b-vh-knee.csv,v1.3,12,13,29,29,0,0,0,0,0,9,0,6,3,9,66,30,https://purl.humanatlas.io/asct-b/knee/v1.3
large intestine,https://cdn.humanatlas.io/digital-objects/asct-b/large-intestine/v1.3/assets/asct-b-vh-large-intestine.csv,v1.3,58,60,93,91,2,0,0,0,0,3,8,4,2,159,864,188,https://purl.humanatlas.io/asct-b/large-intestine/v1.3
liver,https://cdn.humanatlas.io/digital-objects/asct-b/liver/v1.3/assets/asct-b-vh-liver.csv,v1.3,21,32,70,27,43,0,0,0,1,2,1,5,4,17,98,99,https://purl.humanatlas.io/asct-b/liver/v1.3
lung,https://cdn.humanatlas.io/digital-objects/asct-b/lung/v1.5/assets/asct-b-vh-lung.csv,v1.5,58,76,259,223,36,0,0,0,0,0,0,6,2,73,544,677,https://purl.humanatlas.io/asct-b/lung/v1.5
lymph node,https://cdn.humanatlas.io/digital-objects/asct-b/lymph-node/v1.4/assets/asct-b-vh-lymph-node.csv,v1.4,39,47,163,91,72,0,0,0,0,0,0,4,2,44,228,405,https://purl.humanatlas.io/asct-b/lymph-node/v1.4
lymph vasculature,https://cdn.humanatlas.io/digital-objects/asct-b/lymph-vasculature/v1.5/assets/asct-b-vh-lymph-vasculature.csv,v1.5,122,3,2,2,0,0,0,0,72,0,0,4,2,122,118,1,https://purl.humanatlas.io/asct-b/lymph-vasculature/v1.5
main bronchus,https://cdn.humanatlas.io/digital-objects/asct-b/main-bronchus/v1.2/assets/asct-b-vh-main-bronchus.csv,v1.2,19,21,91,75,16,0,0,0,0,0,0,5,2,15,46,187,https://purl.humanatlas.io/asct-b/main-bronchus/v1.2
muscular system,https://cdn.humanatlas.io/digital-objects/asct-b/muscular-system/v1.2/assets/asct-b-vh-muscular-system.csv,v1.2,386,3,1,1,0,0,0,0,76,0,0,4,3,388,382,0,https://purl.humanatlas.io/asct-b/muscular-system/v1.2
ovary,https://cdn.humanatlas.io/digital-objects/asct-b/ovary/v1.3/assets/asct-b-vh-ovary.csv,v1.3,81,18,16,1,14,0,0,1,42,11,4,23,15,166,420,15,https://purl.humanatlas.io/asct-b/ovary/v1.3
palatine tonsil,https://cdn.humanatlas.io/digital-objects/asct-b/palatine-tonsil/v1.1/assets/asct-b-vh-palatine-tonsil.csv,v1.1,25,19,45,11,34,0,0,0,7,4,0,9,2,21,82,89,https://purl.humanatlas.io/asct-b/palatine-tonsil/v1.1
pancreas,https://cdn.humanatlas.io/digital-objects/asct-b/pancreas/v1.3/assets/asct-b-vh-pancreas.csv,v1.3,33,32,56,55,1,0,0,0,0,2,0,10,10,36,253,73,https://purl.humanatlas.io/asct-b/pancreas/v1.3
peripheral nervous system,https://cdn.humanatlas.io/digital-objects/asct-b/peripheral-nervous-system/v1.2/assets/asct-b-vh-peripheral-nervous-system.csv,v1.2,1009,128,33,5,28,0,0,0,0,120,7,194,5,1020,724,127,https://purl.humanatlas.io/asct-b/peripheral-nervous-system/v1.2
placenta,https://cdn.humanatlas.io/digital-objects/asct-b/placenta/v1.2/assets/asct-b-vh-placenta.csv,v1.2,38,25,45,45,0,0,0,0,4,0,0,4,2,52,213,76,https://purl.humanatlas.io/asct-b/placenta/v1.2
prostate,https://cdn.humanatlas.io/digital-objects/asct-b/prostate/v1.1/assets/asct-b-vh-prostate.csv,v1.1,17,22,40,40,0,0,0,0,0,2,0,4,6,14,56,48,https://purl.humanatlas.io/asct-b/prostate/v1.1
skeleton,https://cdn.humanatlas.io/digital-objects/asct-b/skeleton/v1.2/assets/asct-b-vh-skeleton.csv,v1.2,1076,3,1,1,0,0,0,0,390,0,0,4,3,1072,1072,0,https://purl.humanatlas.io/asct-b/skeleton/v1.2
skin,https://cdn.humanatlas.io/digital-objects/asct-b/skin/v1.4/assets/asct-b-vh-skin.csv,v1.4,32,39,69,1,68,0,0,0,1,0,0,15,4,31,111,96,https://purl.humanatlas.io/asct-b/skin/v1.4
small intestine,https://cdn.humanatlas.io/digital-objects/asct-b/small-intestine/v1.1/assets/asct-b-vh-small-intestine.csv,v1.1,47,37,85,44,41,0,0,0,15,10,82,19,4,67,329,109,https://purl.humanatlas.io/asct-b/small-intestine/v1.1
spinal cord,https://cdn.humanatlas.io/digital-objects/asct-b/spinal-cord/v1.1/assets/asct-b-vh-spinal-cord.csv,v1.1,90,10,68,68,0,0,0,0,0,0,0,82,2,101,44,67,https://purl.humanatlas.io/asct-b/spinal-cord/v1.1
spleen,https://cdn.humanatlas.io/digital-objects/asct-b/spleen/v1.4/assets/asct-b-vh-spleen.csv,v1.4,42,65,154,73,81,0,0,0,14,13,2,4,5,49,421,351,https://purl.humanatlas.io/asct-b/spleen/v1.4
thymus,https://cdn.humanatlas.io/digital-objects/asct-b/thymus/v1.5/assets/asct-b-vh-thymus.csv,v1.5,22,52,366,311,55,0,0,0,0,0,0,5,2,30,243,576,https://purl.humanatlas.io/asct-b/thymus/v1.5
trachea,https://cdn.humanatlas.io/digital-objects/asct-b/trachea/v1.0/assets/asct-b-vh-trachea.csv,v1.0,24,19,81,68,13,0,0,0,0,0,0,6,2,20,50,161,https://purl.humanatlas.io/asct-b/trachea/v1.0
ureter,https://cdn.humanatlas.io/digital-objects/asct-b/ureter/v1.0/assets/ASCT-B_VH_Ureter.csv,v1.0,13,16,31,31,0,0,0,0,1,11,0,7,5,9,42,33,https://purl.humanatlas.io/asct-b/ureter/v1.0
urinary bladder,https://cdn.humanatlas.io/digital-objects/asct-b/urinary-bladder/v1.0/assets/ASCT-B_VH_Urinary_Bladder.csv,v1.0,20,17,31,31,0,0,0,0,0,11,0,11,6,16,57,33,https://purl.humanatlas.io/asct-b/urinary-bladder/v1.0
uterus,https://cdn.humanatlas.io/digital-objects/asct-b/uterus/v1.1/assets/ASCT-B_VH_Uterus.csv,v1.1,65,20,46,40,6,0,0,0,34,18,45,25,3,129,420,65,https://purl.humanatlas.io/asct-b/uterus/v1.1
