organ,organ_ID,anatomical_structure_of,source_spatial_entity,node_name,label,OntologyID,representation_of,svg file of single 2DFTU,exist_asctb,type,REF/1,REF/1/DOI,REF/1/NOTES,Inset #,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Principal_Cell_5,kidney cortex collecting duct principal cell,CL:1000714,http://purl.obolibrary.org/obo/CL_1000714,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Principal_Cell_6,kidney cortex collecting duct principal cell,CL:1000714,http://purl.obolibrary.org/obo/CL_1000714,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Principal_Cell_7,kidney cortex collecting duct principal cell,CL:1000714,http://purl.obolibrary.org/obo/CL_1000714,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Principal_Cell_8,kidney cortex collecting duct principal cell,CL:1000714,http://purl.obolibrary.org/obo/CL_1000714,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Principal_Cell_9,kidney cortex collecting duct principal cell,CL:1000714,http://purl.obolibrary.org/obo/CL_1000714,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Intercalated_Cell_Type_B_1,connecting tubule intercalated cell type B,CL:4030021,http://purl.obolibrary.org/obo/CL_4030021,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Intercalated_Cell_Type_B_2,connecting tubule intercalated cell type B,CL:4030021,http://purl.obolibrary.org/obo/CL_4030021,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Intercalted_Cell_Type_A_1,connecting tubule intercalated cell type A,CL:4030020,http://purl.obolibrary.org/obo/CL_4030020,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Intercalted_Cell_Type_A_2,connecting tubule intercalated cell type A,CL:4030020,http://purl.obolibrary.org/obo/CL_4030020,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Intercalted_Cell_Type_A_3,connecting tubule intercalated cell type A,CL:4030020,http://purl.obolibrary.org/obo/CL_4030020,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Cortical_Collecting_Duct_Intercalted_Cell_Type_A_4,connecting tubule intercalated cell type A,CL:4030020,http://purl.obolibrary.org/obo/CL_4030020,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUCorticalCollectingDuct,#2DRefObjects,Endothelium_Peritubular_Capillary,peritubular capillary endothelial cell,CL:1001033,http://purl.obolibrary.org/obo/CL_1001033,cortical_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Intercalted_Cell_Type_A_1,kidney outer medulla collecting duct intercalated cell,CL:1000717,http://purl.obolibrary.org/obo/CL_1000717,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Intercalted_Cell_Type_A_2,kidney outer medulla collecting duct intercalated cell,CL:1000717,http://purl.obolibrary.org/obo/CL_1000717,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Intercalted_Cell_Type_A_3,kidney outer medulla collecting duct intercalated cell,CL:1000717,http://purl.obolibrary.org/obo/CL_1000717,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
#Kidney,UBERON:0002113,#FTUOuterMedullaryCollectingDuct,#2DRefObjects,Outer_Medullary_Collecting_Duct_Intercalted_Cell_Type_A_4,kidney outer medulla collecting duct intercalated cell,CL:1000717,http://purl.obolibrary.org/obo/CL_1000717,outer_medullary_collecting_duct,1,CT,,,,,,,,,,,,,,,,,,,,
