X,Y,Z,Cell_Type,ONTOLOGY_ID
148.5,388.5,20,T-Helper,354
455.75,395.5,20,T-Helper,355
529,412,20,T-Helper,356
542.5,436.5,20,T-Helper,357
522.5,441.5,20,T-Helper,358
322.576,476.485,20,T-Helper,359
200,491.5,20,T-Helper,360
203.5,512,20,T-Helper,361
182.5,414,23,T-Helper,362
422.32,485.36,23,T-Helper,363
440.5,485,23,T-Helper,364
340,488.5,23,T-Helper,365
251.353,79.4118,3,T-Reg,366
236.889,84.3889,3,T-Reg,367
412.353,84.4118,3,T-Reg,368
441.647,90.5882,3,T-Reg,369
174.353,100.412,3,T-Reg,370
101.778,113.611,3,T-Reg,371
95.8824,121.529,3,T-Reg,372
486.278,206.556,3,T-Reg,373
176.5,283.5,3,T-Reg,374
543.35,287.15,3,T-Reg,375
202.824,296.294,3,T-Reg,376
129.389,308.278,3,T-Reg,377
183.7,341.15,3,T-Reg,378
731.5,378.5,3,T-Reg,379
274.833,386.667,3,T-Reg,380
280.941,397.647,3,T-Reg,381
257.364,408.879,3,T-Reg,382
624.368,484.158,3,T-Reg,383
712,483,3,T-Reg,384
779.6,487.011,3,T-Reg,385
768.059,488.353,3,T-Reg,386
111.5,301,4,T-Reg,387
470.647,418.588,4,T-Reg,388
171.048,292.19,9,T-Reg,389
153.136,293.273,9,T-Reg,390
159.667,294.533,9,T-Reg,391
172.389,298.778,9,T-Reg,392
126.188,302.375,9,T-Reg,393
170,305,9,T-Reg,394
183,309.5,9,T-Reg,395
129.864,311.727,9,T-Reg,396
143,312.5,9,T-Reg,397
216.5,360.5,9,T-Reg,398
222.5,401.5,9,T-Reg,399
140,260,10,T-Reg,400
175.3,264,10,T-Reg,401
190.5,275,10,T-Reg,402
236.5,390,10,T-Reg,403
97.5,233.5,11,T-Reg,404
594.389,238.222,11,T-Reg,405
94.5,241.5,11,T-Reg,406
130.5,270.5,11,T-Reg,407
195.095,286.619,11,T-Reg,408
207,306.5,11,T-Reg,409
293.412,417.353,11,T-Reg,410
303.5,427.5,11,T-Reg,411
554.5,427.5,11,T-Reg,412
522.222,444.389,11,T-Reg,413
554.5,454.5,11,T-Reg,414
564.5,519,11,T-Reg,415
439.892,89.0541,18,T-Reg,416
166.5,104.5,18,T-Reg,417
453.143,111.357,18,T-Reg,418
335,184.5,18,T-Reg,419
189.5,293.5,18,T-Reg,420
441.5,458.5,18,T-Reg,421
227.611,467.222,18,T-Reg,422
98.5,475,18,T-Reg,423
108.8,497.1,18,T-Reg,424
115.632,505.526,18,T-Reg,425
492,124,0,CD68,426
535,119.5,1,CD68,427
446,142,1,CD68,428
505,274,1,CD68,429
509,456,1,CD68,430
474,86,2,CD68,431
342,96,3,CD68,432
298,216,3,CD68,433
449,72,4,CD68,434
445,83,4,CD68,435
525,102,4,CD68,436
335,123,4,CD68,437
317,195,4,CD68,438
552,307,4,CD68,439
607,392,4,CD68,440
292,509,5,CD68,441
426,257,6,CD68,442
412,242,7,CD68,443
224,416,7,CD68,444
295,374,8,CD68,445
314,99,9,CD68,446
314,103,9,CD68,447
100,162,9,CD68,448
545,183,9,CD68,449
183,232,9,CD68,450
571,259,9,CD68,451
325,273,9,CD68,452
616,310,9,CD68,453
487,323,9,CD68,454
613,348,9,CD68,455
552,356,9,CD68,456
504,357,9,CD68,457
274,360,9,CD68,458
545,362,9,CD68,459
454,422,9,CD68,460
394,442,9,CD68,461
571,456,9,CD68,462
257,462,9,CD68,463
327,491,9,CD68,464
261,514,9,CD68,465
218,110,10,CD68,466
301,128,10,CD68,467
511,133,10,CD68,468
92,149,10,CD68,469
573,255,10,CD68,470
554,273,10,CD68,471
355,275,10,CD68,472
535,312,10,CD68,473
493,336,10,CD68,474
695,348,10,CD68,475
546,358.5,10,CD68,476
765,358,10,CD68,477
299,432.5,10,CD68,478
259,436,10,CD68,479
451,456,10,CD68,480
382,457,10,CD68,481
275,476,10,CD68,482
208,481,10,CD68,483
199,120,11,CD68,484
136,250,11,CD68,485
667,269,11,CD68,486
480,341,11,CD68,487
713,409,11,CD68,488
685,462,11,CD68,489
460,493,11,CD68,490
363,225,12,CD68,491
456,155,13,CD68,492
562,116,14,CD68,493
644,267,15,CD68,494
524,289,15,CD68,495
447,142,16,CD68,496
602,475,17,CD68,497
387,111,18,CD68,498
574,151,18,CD68,499
390,157,18,CD68,500
92,260,18,CD68,501
438,261,18,CD68,502
114,277,18,CD68,503
116,278,18,CD68,504
205,296,18,CD68,505
296,337,18,CD68,506
500,354,18,CD68,507
620,399,18,CD68,508
359,439,18,CD68,509
224,449,18,CD68,510
514,466,18,CD68,511
483,393,19,CD68,512
602,297,20,CD68,513
338,370,20,CD68,514
333,381,20,CD68,515
606,253,21,CD68,516
473,314,22,CD68,517
423,357,23,CD68,518
266.667,80.6667,0,Endothelial,519
257.25,84.25,0,Endothelial,520
265.5,88.5,0,Endothelial,521
286.5,90,0,Endothelial,522
283.333,92.3333,0,Endothelial,523
279.333,96.6667,0,Endothelial,524
289.333,122.667,0,Endothelial,525
124,132,0,Endothelial,526
120.5,145,0,Endothelial,527
115.167,158,0,Endothelial,528
113.5,164,0,Endothelial,529
277.333,174.667,0,Endothelial,530
261.333,175.333,0,Endothelial,531
103.667,194.333,0,Endothelial,532
520.5,214,0,Endothelial,533
521.25,226.75,0,Endothelial,534
518.833,243.667,0,Endothelial,535
672.154,264.538,0,Endothelial,536
521.5,267.5,0,Endothelial,537
144.667,268.333,0,Endothelial,538
229.667,278.333,0,Endothelial,539
204.333,284.667,0,Endothelial,540
194.667,287.667,0,Endothelial,541
236.667,291.833,0,Endothelial,542
201.667,292.333,0,Endothelial,543
214.333,295.333,0,Endothelial,544
98.3333,296.667,0,Endothelial,545
209.167,301.333,0,Endothelial,546
210.5,303.5,0,Endothelial,547
213.5,304.5,0,Endothelial,548
220.667,304.667,0,Endothelial,549
244.333,310.333,0,Endothelial,550
512.5,312,0,Endothelial,551
525.5,315,0,Endothelial,552
247.333,323.333,0,Endothelial,553
175.4,328.2,0,Endothelial,554
246.667,327.667,0,Endothelial,555
174,331.5,0,Endothelial,556
673,344.833,0,Endothelial,557
100.667,345.333,0,Endothelial,558
676.25,345.75,0,Endothelial,559
687.667,347.333,0,Endothelial,560
729.857,357,0,Endothelial,561
257,363,0,Endothelial,562
221.667,364.667,0,Endothelial,563
679.333,368.333,0,Endothelial,564
498.667,371.333,0,Endothelial,565
270.6,376.8,0,Endothelial,566
788.5,376.5,0,Endothelial,567
332.75,378.75,0,Endothelial,568
341.75,381,0,Endothelial,569
715,380,0,Endothelial,570
615.625,382.375,0,Endothelial,571
783.667,382.667,0,Endothelial,572
719.667,383.667,0,Endothelial,573
810.5,384.5,0,Endothelial,574
717,386,0,Endothelial,575
704,388,0,Endothelial,576
535.667,396.667,0,Endothelial,577
721.25,397.25,0,Endothelial,578
476.556,399.222,0,Endothelial,579
209,398.25,0,Endothelial,580
152.5,399.5,0,Endothelial,581
168.5,401,0,Endothelial,582
645.667,401.667,0,Endothelial,583
740.5,401.5,0,Endothelial,584
479,403.25,0,Endothelial,585
544.333,406.667,0,Endothelial,586
741.455,406.909,0,Endothelial,587
643.5,408.5,0,Endothelial,588
498.909,410.636,0,Endothelial,589
487.333,411.333,0,Endothelial,590
740.2,412.4,0,Endothelial,591
461.5,413.5,0,Endothelial,592
526.167,414.167,0,Endothelial,593
772,413.75,0,Endothelial,594
504.667,414.333,0,Endothelial,595
527,418,0,Endothelial,596
638.286,420.286,0,Endothelial,597
534.667,420.333,0,Endothelial,598
635.375,425.875,0,Endothelial,599
120.6,425.8,0,Endothelial,600
538,427.5,0,Endothelial,601
639.333,426.333,0,Endothelial,602
485.5,428,0,Endothelial,603
291.5,428.5,0,Endothelial,604
550.5,437.5,0,Endothelial,605
487,440,0,Endothelial,606
511,443,0,Endothelial,607
95.5,450,0,Endothelial,608
523.2,451.2,0,Endothelial,609
513.571,452.286,0,Endothelial,610
280.5,452.5,0,Endothelial,611
509,452.5,0,Endothelial,612
502.25,453.25,0,Endothelial,613
518.222,453.778,0,Endothelial,614
505.667,454.5,0,Endothelial,615
534.357,457.75,0,Endothelial,616
525,457,0,Endothelial,617
648.5,458.5,0,Endothelial,618
474.333,460.333,0,Endothelial,619
518.5,464,0,Endothelial,620
136.667,465.667,0,Endothelial,621
700.5,465.5,0,Endothelial,622
696.25,468,0,Endothelial,623
703.75,467.75,0,Endothelial,624
678.625,469.875,0,Endothelial,625
492.75,471,0,Endothelial,626
703,470,0,Endothelial,627
489.333,471.667,0,Endothelial,628
306.714,473.714,0,Endothelial,629
665.667,473.667,0,Endothelial,630
666.333,477.333,0,Endothelial,631
806,483.25,0,Endothelial,632
108.333,494.667,0,Endothelial,633
797.4,505.8,0,Endothelial,634
228.667,514.333,0,Endothelial,635
142.75,74.25,1,Endothelial,636
408.091,75.0909,1,Endothelial,637
369,76,1,Endothelial,638
289.333,78.6667,1,Endothelial,639
348.6,79.4,1,Endothelial,640
372.4,79.8,1,Endothelial,641
410.857,81.2857,1,Endothelial,642
406.2,82.4,1,Endothelial,643
749.5,86,1,Endothelial,644
760.5,89.5,1,Endothelial,645
498.667,94.3333,1,Endothelial,646
411.231,98.4615,1,Endothelial,647
435.429,99.2857,1,Endothelial,648
498.25,99,1,Endothelial,649
383.19,107.048,1,Endothelial,650
411.667,104.333,1,Endothelial,651
351.833,106.833,1,Endothelial,652
548,112.5,1,Endothelial,653
769,117.286,1,Endothelial,654
808.4,123.2,1,Endothelial,655
560.333,124.333,1,Endothelial,656
247.667,132.667,1,Endothelial,657
363,133,1,Endothelial,658
369.5,134,1,Endothelial,659
572,142,1,Endothelial,660
312,154.5,1,Endothelial,661
725.6,155.6,1,Endothelial,662
315.222,158.556,1,Endothelial,663
297.933,162.333,1,Endothelial,664
586.667,165.667,1,Endothelial,665
463.4,172.8,1,Endothelial,666
297.5,175.5,1,Endothelial,667
482.5,176.5,1,Endothelial,668
198,180.5,1,Endothelial,669
288.6,190.8,1,Endothelial,670
450.8,190.6,1,Endothelial,671
428.278,194.278,1,Endothelial,672
251.667,193.333,1,Endothelial,673
305.5,196,1,Endothelial,674
430.909,201.455,1,Endothelial,675
512.667,198.667,1,Endothelial,676
311.05,202.25,1,Endothelial,677
147.333,200.667,1,Endothelial,678
156.5,201.5,1,Endothelial,679
354.923,204.923,1,Endothelial,680
92.2,209.2,1,Endothelial,681
146.75,209.25,1,Endothelial,682
156.667,209.667,1,Endothelial,683
357.667,209.333,1,Endothelial,684
149.75,210.25,1,Endothelial,685
262.6,215.4,1,Endothelial,686
95.6667,215.667,1,Endothelial,687
742,219,1,Endothelial,688
264.75,219.25,1,Endothelial,689
792.667,219.333,1,Endothelial,690
212.333,220.667,1,Endothelial,691
391.783,224.217,1,Endothelial,692
207.333,223.333,1,Endothelial,693
191.167,226.667,1,Endothelial,694
381.75,226.75,1,Endothelial,695
463.667,226.667,1,Endothelial,696
133.5,228.5,1,Endothelial,697
192.286,231.429,1,Endothelial,698
405.286,232.571,1,Endothelial,699
444.292,235.833,1,Endothelial,700
157.833,234.667,1,Endothelial,701
440,235,1,Endothelial,702
211.5,236.5,1,Endothelial,703
216.5,238.5,1,Endothelial,704
409.923,239.692,1,Endothelial,705
477.6,238.4,1,Endothelial,706
212.333,239.333,1,Endothelial,707
218.667,240.667,1,Endothelial,708
221.5,243.5,1,Endothelial,709
746.667,243.333,1,Endothelial,710
208.333,250.333,1,Endothelial,711
223.333,251.667,1,Endothelial,712
242.5,256.5,1,Endothelial,713
444,257.8,1,Endothelial,714
92.5,260,1,Endothelial,715
545,260,1,Endothelial,716
795.667,260.333,1,Endothelial,717
472.6,264.4,1,Endothelial,718
586.333,264.333,1,Endothelial,719
604.167,266.333,1,Endothelial,720
587.5,267,1,Endothelial,721
444.5,269.5,1,Endothelial,722
227.2,272.2,1,Endothelial,723
448.667,271.667,1,Endothelial,724
406.75,272.75,1,Endothelial,725
281.55,282.3,1,Endothelial,726
391.955,288.909,1,Endothelial,727
521.571,285.714,1,Endothelial,728
290.37,290.593,1,Endothelial,729
224.5,288.5,1,Endothelial,730
522.3,292.7,1,Endothelial,731
745.667,297.333,1,Endothelial,732
572.375,300,1,Endothelial,733
107,304,1,Endothelial,734
707.333,303.667,1,Endothelial,735
306.833,307,1,Endothelial,736
725.667,308.667,1,Endothelial,737
595,313.308,1,Endothelial,738
188.667,312.333,1,Endothelial,739
471.25,314,1,Endothelial,740
399.8,315.6,1,Endothelial,741
466.75,316,1,Endothelial,742
305,319.167,1,Endothelial,743
599.333,318.667,1,Endothelial,744
129.5,319.5,1,Endothelial,745
601.667,320.333,1,Endothelial,746
360.522,328.478,1,Endothelial,747
551.471,330.529,1,Endothelial,748
427.25,331.25,1,Endothelial,749
309,340.5,1,Endothelial,750
211.5,340.5,1,Endothelial,751
524.2,344.4,1,Endothelial,752
309.5,347,1,Endothelial,753
588.25,348.25,1,Endothelial,754
592.167,348.667,1,Endothelial,755
425.111,350.556,1,Endothelial,756
638,355,1,Endothelial,757
300.8,356.6,1,Endothelial,758
604.5,356,1,Endothelial,759
451.667,359.667,1,Endothelial,760
297.75,361.75,1,Endothelial,761
656,362,1,Endothelial,762
729,363.25,1,Endothelial,763
724.222,363.444,1,Endothelial,764
296.2,364.4,1,Endothelial,765
460.111,367.778,1,Endothelial,766
733.25,366.25,1,Endothelial,767
448.8,365.8,1,Endothelial,768
557.778,366.667,1,Endothelial,769
230.667,366.667,1,Endothelial,770
538.833,367.333,1,Endothelial,771
242.667,367.333,1,Endothelial,772
785,368.833,1,Endothelial,773
721,370.5,1,Endothelial,774
276.846,378.231,1,Endothelial,775
466.143,378.857,1,Endothelial,776
235.5,381.5,1,Endothelial,777
472.5,381.5,1,Endothelial,778
99.4,384.2,1,Endothelial,779
275.333,386.333,1,Endothelial,780
224.25,387,1,Endothelial,781
469.333,387.333,1,Endothelial,782
122,390.273,1,Endothelial,783
614.667,388.333,1,Endothelial,784
466.667,390.889,1,Endothelial,785
410.333,390.667,1,Endothelial,786
616.5,390.5,1,Endothelial,787
538.5,392,1,Endothelial,788
231.333,392.333,1,Endothelial,789
342.333,392.667,1,Endothelial,790
663.857,394.286,1,Endothelial,791
347.438,395.75,1,Endothelial,792
675.571,395.143,1,Endothelial,793
660.667,395.333,1,Endothelial,794
669,395,1,Endothelial,795
404.25,397,1,Endothelial,796
252,400,1,Endothelial,797
658.2,399.6,1,Endothelial,798
275.5,400.5,1,Endothelial,799
430.667,400.333,1,Endothelial,800
312.545,403.273,1,Endothelial,801
708.25,403.25,1,Endothelial,802
257.667,402.667,1,Endothelial,803
407.25,403.75,1,Endothelial,804
458.889,404.333,1,Endothelial,805
606.5,404.333,1,Endothelial,806
428,405.167,1,Endothelial,807
100.75,406,1,Endothelial,808
641.5,406.5,1,Endothelial,809
409.143,409.429,1,Endothelial,810
575.5,408.5,1,Endothelial,811
655.6,408.8,1,Endothelial,812
600.8,410.4,1,Endothelial,813
312.875,414.5,1,Endothelial,814
431.333,416.333,1,Endothelial,815
600.25,417,1,Endothelial,816
625.2,418.2,1,Endothelial,817
197.067,421,1,Endothelial,818
462.25,421.25,1,Endothelial,819
656.333,420.333,1,Endothelial,820
623.5,421.5,1,Endothelial,821
349.333,423.667,1,Endothelial,822
464.556,425.944,1,Endothelial,823
168,426,1,Endothelial,824
320.214,428.357,1,Endothelial,825
566,426,1,Endothelial,826
626.667,426.333,1,Endothelial,827
564.667,429.333,1,Endothelial,828
622.333,430.333,1,Endothelial,829
469,433,1,Endothelial,830
