X,Y,Z,Cell_Type,ONTOLOGY_ID
188.5,342.5,10,T-Killer,1
136.6,161.4,20,T-Killer,2
437.5,363.5,20,T-Killer,3
203.5,512,20,T-Killer,4
155.579,204.895,0,T-Helper,5
107.5,223.5,0,T-Helper,6
180.593,226.519,0,T-Helper,7
188.5,226.778,0,T-Helper,8
198.579,231.895,0,T-Helper,9
478.5,232,0,T-Helper,10
191,236,0,T-Helper,11
97.5,259,0,T-Helper,12
177.714,290.286,0,T-Helper,13
300.5,320,0,T-Helper,14
207.5,321,0,T-Helper,15
217.5,339,0,T-Helper,16
164.389,353.778,0,T-Helper,17
656.7,365.4,0,T-Helper,18
447.667,369.833,0,T-Helper,19
96.4516,372.613,0,T-Helper,20
576.421,379.895,0,T-Helper,21
98.7586,384.207,0,T-Helper,22
473.933,383.267,0,T-Helper,23
123.5,389,0,T-Helper,24
467,393.5,0,T-Helper,25
657,401,0,T-Helper,26
252,400.5,0,T-Helper,27
505.125,417.125,0,T-Helper,28
404.5,424.5,0,T-Helper,29
616,430,0,T-Helper,30
438.611,442.222,0,T-Helper,31
414,443,0,T-Helper,32
449,452,0,T-Helper,33
356.421,459.105,0,T-Helper,34
217.421,461.105,0,T-Helper,35
195.75,461.5,0,T-Helper,36
526.381,463.524,0,T-Helper,37
562,468,0,T-Helper,38
623.667,472.833,0,T-Helper,39
580.261,476.565,0,T-Helper,40
575.65,485.15,0,T-Helper,41
661.5,515.222,0,T-Helper,42
655.5,518.636,0,T-Helper,43
155.579,204.895,1,T-Helper,44
107.5,223.5,1,T-Helper,45
180.593,226.519,1,T-Helper,46
188.5,226.778,1,T-Helper,47
198.579,231.895,1,T-Helper,48
478.5,232,1,T-Helper,49
191,236,1,T-Helper,50
97.5,259,1,T-Helper,51
177.714,290.286,1,T-Helper,52
300.5,320,1,T-Helper,53
207.5,321,1,T-Helper,54
217.5,339,1,T-Helper,55
164.389,353.778,1,T-Helper,56
656.7,365.4,1,T-Helper,57
447.667,369.833,1,T-Helper,58
96.4516,372.613,1,T-Helper,59
576.421,379.895,1,T-Helper,60
98.7586,384.207,1,T-Helper,61
473.933,383.267,1,T-Helper,62
123.5,389,1,T-Helper,63
467,393.5,1,T-Helper,64
657,401,1,T-Helper,65
252,400.5,1,T-Helper,66
505.125,417.125,1,T-Helper,67
404.5,424.5,1,T-Helper,68
616,430,1,T-Helper,69
438.611,442.222,1,T-Helper,70
414,443,1,T-Helper,71
449,452,1,T-Helper,72
356.421,459.105,1,T-Helper,73
217.421,461.105,1,T-Helper,74
195.75,461.5,1,T-Helper,75
526.381,463.524,1,T-Helper,76
562,468,1,T-Helper,77
623.667,472.833,1,T-Helper,78
580.261,476.565,1,T-Helper,79
575.65,485.15,1,T-Helper,80
661.5,515.222,1,T-Helper,81
655.5,518.636,1,T-Helper,82
229.047,79.4884,3,T-Helper,83
238.627,80.9048,3,T-Helper,84
181.571,79.6786,3,T-Helper,85
97.0952,81.381,3,T-Helper,86
250.646,81.4167,3,T-Helper,87
412.353,84.4118,3,T-Helper,88
441.647,90.5882,3,T-Helper,89
245.222,92.3889,3,T-Helper,90
340.833,95.5833,3,T-Helper,91
174.353,100.412,3,T-Helper,92
144,102.1,3,T-Helper,93
100.351,112.108,3,T-Helper,94
92.2857,112.643,3,T-Helper,95
94.2407,124.407,3,T-Helper,96
447.778,121.611,3,T-Helper,97
466.647,155.588,3,T-Helper,98
461.579,157.105,3,T-Helper,99
454.65,176.85,3,T-Helper,100
516.895,186.579,3,T-Helper,101
486.278,206.556,3,T-Helper,102
598.722,280.389,3,T-Helper,103
148.6,282.6,3,T-Helper,104
176.5,283.5,3,T-Helper,105
543.35,287.15,3,T-Helper,106
101.222,288.389,3,T-Helper,107
202.824,296.294,3,T-Helper,108
129.389,308.278,3,T-Helper,109
611.588,313.353,3,T-Helper,110
183.7,341.15,3,T-Helper,111
614.412,340.647,3,T-Helper,112
352.278,363.556,3,T-Helper,113
614.414,365.517,3,T-Helper,114
219.781,380,3,T-Helper,115
731.5,378.5,3,T-Helper,116
516.5,385.25,3,T-Helper,117
557.353,397.412,3,T-Helper,118
729.6,401.96,3,T-Helper,119
395.3,404,3,T-Helper,120
609.391,406.565,3,T-Helper,121
280.727,412.955,3,T-Helper,122
600,412.5,3,T-Helper,123
755.5,412.5,3,T-Helper,124
676.353,424.412,3,T-Helper,125
278.381,430.905,3,T-Helper,126
526.5,444.5,3,T-Helper,127
520.5,446.5,3,T-Helper,128
278.115,448.077,3,T-Helper,129
522.944,461.278,3,T-Helper,130
680.966,464.207,3,T-Helper,131
524.167,470.667,3,T-Helper,132
505.357,473.286,3,T-Helper,133
623.081,481.849,3,T-Helper,134
602.154,484.41,3,T-Helper,135
712,483,3,T-Helper,136
779.6,487.011,3,T-Helper,137
757.579,486.105,3,T-Helper,138
374.273,486.864,3,T-Helper,139
614.273,486.955,3,T-Helper,140
647.714,486.857,3,T-Helper,141
768.059,488.353,3,T-Helper,142
721.632,488.526,3,T-Helper,143
606,489,3,T-Helper,144
762.389,490.778,3,T-Helper,145
728,491.5,3,T-Helper,146
268,509.5,3,T-Helper,147
280.5,520,3,T-Helper,148
105.5,288.5,4,T-Helper,149
211.588,293.353,4,T-Helper,150
111.5,301,4,T-Helper,151
201.421,300.895,4,T-Helper,152
144.45,383.05,4,T-Helper,153
490.412,382.647,4,T-Helper,154
210.421,386.895,4,T-Helper,155
468.5,412.5,4,T-Helper,156
471.919,420.703,4,T-Helper,157
234.87,420.826,4,T-Helper,158
493.133,421.533,4,T-Helper,159
481.083,456.917,4,T-Helper,160
581.15,480.3,4,T-Helper,161
400.951,91.5122,9,T-Helper,162
393.5,90,9,T-Helper,163
315.5,97,9,T-Helper,164
446.579,125.105,9,T-Helper,165
426.5,135,9,T-Helper,166
290.5,145.5,9,T-Helper,167
390.389,150.778,9,T-Helper,168
333,158.5,9,T-Helper,169
449.5,158.868,9,T-Helper,170
413.579,174.105,9,T-Helper,171
455.5,182,9,T-Helper,172
459.412,200.647,9,T-Helper,173
448.5,207.5,9,T-Helper,174
475.5,214,9,T-Helper,175
474.412,222.647,9,T-Helper,176
468.938,230.812,9,T-Helper,177
337.083,263.083,9,T-Helper,178
473.803,276.885,9,T-Helper,179
324.5,275.5,9,T-Helper,180
543.588,276.706,9,T-Helper,181
496.5,283.5,9,T-Helper,182
508.611,285.222,9,T-Helper,183
118.5,290.5,9,T-Helper,184
444.871,292.903,9,T-Helper,185
153.611,293.222,9,T-Helper,186
172.5,300,9,T-Helper,187
558.5,300,9,T-Helper,188
442.111,302.944,9,T-Helper,189
160.421,304.895,9,T-Helper,190
580.5,304.5,9,T-Helper,191
150.6,306.4,9,T-Helper,192
434.389,306.778,9,T-Helper,193
133.588,308.353,9,T-Helper,194
470.5,308.5,9,T-Helper,195
96,309.5,9,T-Helper,196
497,314,9,T-Helper,197
478.5,318.5,9,T-Helper,198
543.5,327.5,9,T-Helper,199
297.321,334.179,9,T-Helper,200
543.5,363,9,T-Helper,201
552.593,367.889,9,T-Helper,202
537.5,371,9,T-Helper,203
485.211,372.053,9,T-Helper,204
406.133,374.533,9,T-Helper,205
625,376,9,T-Helper,206
639.5,376.5,9,T-Helper,207
205.5,379,9,T-Helper,208
561.5,379,9,T-Helper,209
511.5,399.5,9,T-Helper,210
222.5,401.5,9,T-Helper,211
517.591,404.727,9,T-Helper,212
393.5,406.5,9,T-Helper,213
231.389,408.778,9,T-Helper,214
541.5,410.5,9,T-Helper,215
443.421,418.895,9,T-Helper,216
514.146,426.812,9,T-Helper,217
238.421,430.105,9,T-Helper,218
419.056,434.222,9,T-Helper,219
425,438,9,T-Helper,220
445.5,438.5,9,T-Helper,221
557.882,445.147,9,T-Helper,222
406.611,445.25,9,T-Helper,223
202,444.5,9,T-Helper,224
440.966,446.31,9,T-Helper,225
209.5,448.5,9,T-Helper,226
199.5,451,9,T-Helper,227
537.5,452,9,T-Helper,228
284.913,453.478,9,T-Helper,229
402.857,454.429,9,T-Helper,230
274.5,460.5,9,T-Helper,231
244.944,461.778,9,T-Helper,232
430.421,461.895,9,T-Helper,233
534,464.5,9,T-Helper,234
533.588,472.353,9,T-Helper,235
415,474.5,9,T-Helper,236
579.611,476.222,9,T-Helper,237
483.241,477.31,9,T-Helper,238
503.579,482.105,9,T-Helper,239
327.333,490,9,T-Helper,240
483.5,495.5,9,T-Helper,241
455.304,504.2,9,T-Helper,242
196.5,507,9,T-Helper,243
404.111,508.944,9,T-Helper,244
634.722,509.778,9,T-Helper,245
437.595,512.19,9,T-Helper,246
277.5,520,9,T-Helper,247
140,260,10,T-Helper,248
175.3,264,10,T-Helper,249
150.826,267.87,10,T-Helper,250
190.5,275,10,T-Helper,251
159.826,276.87,10,T-Helper,252
236.5,390,10,T-Helper,253
462.4,408.771,10,T-Helper,254
230.174,413.13,10,T-Helper,255
439.5,412.5,10,T-Helper,256
544.381,420.095,10,T-Helper,257
559.5,450,10,T-Helper,258
410.304,461.174,10,T-Helper,259
526.5,474.5,10,T-Helper,260
199.5,476.5,10,T-Helper,261
463.426,493.705,10,T-Helper,262
465,499,10,T-Helper,263
486.5,106.5,11,T-Helper,264
382.778,114.611,11,T-Helper,265
476,121.5,11,T-Helper,266
516,135,11,T-Helper,267
444.389,150.222,11,T-Helper,268
147,173.5,11,T-Helper,269
568.143,174.357,11,T-Helper,270
97.5,233.5,11,T-Helper,271
594.389,238.222,11,T-Helper,272
95.1176,241.559,11,T-Helper,273
94.5,251.5,11,T-Helper,274
665,270.348,11,T-Helper,275
129.7,272.7,11,T-Helper,276
205,281.5,11,T-Helper,277
714.611,284.778,11,T-Helper,278
229.167,293,11,T-Helper,279
208.474,300.658,11,T-Helper,280
190,299.5,11,T-Helper,281
201.837,302.898,11,T-Helper,282
530.5,329.5,11,T-Helper,283
91.5,351,11,T-Helper,284
257.5,365.5,11,T-Helper,285
268.895,365.579,11,T-Helper,286
633.5,380,11,T-Helper,287
451.5,389.5,11,T-Helper,288
288.043,398.426,11,T-Helper,289
452,405.5,11,T-Helper,290
615.105,413.421,11,T-Helper,291
293.412,417.353,11,T-Helper,292
558.083,417.917,11,T-Helper,293
597.5,419,11,T-Helper,294
522.435,425.609,11,T-Helper,295
303.5,427.5,11,T-Helper,296
555,430.5,11,T-Helper,297
501.579,432.895,11,T-Helper,298
523.174,442.87,11,T-Helper,299
554.5,454.5,11,T-Helper,300
620.5,456.5,11,T-Helper,301
521.5,461.5,11,T-Helper,302
538.5,467.5,11,T-Helper,303
536,484.5,11,T-Helper,304
558.5,500,11,T-Helper,305
386.895,501.579,11,T-Helper,306
566.593,506.271,11,T-Helper,307
593.5,505.5,11,T-Helper,308
360.105,509.421,11,T-Helper,309
597.5,510.5,11,T-Helper,310
558.647,512.588,11,T-Helper,311
565.674,517.674,11,T-Helper,312
288.25,74.5,18,T-Helper,313
359,87,18,T-Helper,314
439,89,18,T-Helper,315
375.5,96.5,18,T-Helper,316
444.5,97,18,T-Helper,317
166.5,104.5,18,T-Helper,318
453.143,111.357,18,T-Helper,319
460.24,114.12,18,T-Helper,320
505.25,126.25,18,T-Helper,321
496.5,131.5,18,T-Helper,322
476.562,148.562,18,T-Helper,323
140.5,290.5,18,T-Helper,324
545.5,308.5,18,T-Helper,325
437.5,382.5,18,T-Helper,326
257.5,383.5,18,T-Helper,327
579,387.5,18,T-Helper,328
271.5,393.5,18,T-Helper,329
556.75,421.5,18,T-Helper,330
452,444,18,T-Helper,331
441.5,458.5,18,T-Helper,332
106.5,461,18,T-Helper,333
497.5,471.5,18,T-Helper,334
98.5,475,18,T-Helper,335
107,494.5,18,T-Helper,336
110.5,500.5,18,T-Helper,337
115.632,505.526,18,T-Helper,338
141.611,509.222,18,T-Helper,339
364.5,84.5,20,T-Helper,340
389.5,86.5,20,T-Helper,341
396.5,86.5,20,T-Helper,342
402.5,90.5,20,T-Helper,343
462.222,106.278,20,T-Helper,344
470.5,110,20,T-Helper,345
455.5,120.5,20,T-Helper,346
139.6,185.4,20,T-Helper,347
560.5,321,20,T-Helper,348
286.5,326.5,20,T-Helper,349
438.5,357.5,20,T-Helper,350
291.5,373.5,20,T-Helper,351
341.5,380.5,20,T-Helper,352
346.5,381,20,T-Helper,353
