Organ,csv,table_version,AS3D,AS,CT,B_Total,BG,BP,BM,BF,BL,ASWithNoLink,CTWithNoLink,BWithNoLink,ASWithNoCT,CTWithNoB,AS_AS,AS_CT,CT_BM,url,csvLabel
peripheral nervous system,https://cdn.humanatlas.io/digital-objects/asct-b/peripheral-nervous-system/v1.2/assets/asct-b-vh-peripheral-nervous-system.csv,v1.2,1,1009,128,33,5,28,0,0,0,0,120,7,194,5,1020,724,127,https://purl.humanatlas.io/asct-b/peripheral-nervous-system/v1.2,CSV
placenta,https://cdn.humanatlas.io/digital-objects/asct-b/placenta/v1.2/assets/asct-b-vh-placenta.csv,v1.2,7,38,25,45,45,0,0,0,0,4,0,0,4,2,52,213,76,https://purl.humanatlas.io/asct-b/placenta/v1.2,CSV
prostate,https://cdn.humanatlas.io/digital-objects/asct-b/prostate/v1.1/assets/asct-b-vh-prostate.csv,v1.1,5,17,22,40,40,0,0,0,0,0,2,0,4,6,14,56,48,https://purl.humanatlas.io/asct-b/prostate/v1.1,CSV
skeleton,https://cdn.humanatlas.io/digital-objects/asct-b/skeleton/v1.2/assets/asct-b-vh-skeleton.csv,v1.2,29,1076,3,1,1,0,0,0,0,390,0,0,4,3,1072,1072,0,https://purl.humanatlas.io/asct-b/skeleton/v1.2,CSV
skin,https://cdn.humanatlas.io/digital-objects/asct-b/skin/v1.6/assets/asct-b-vh-skin.csv,v1.6,2,35,39,69,1,68,0,0,0,1,0,0,14,4,34,172,96,https://purl.humanatlas.io/asct-b/skin/v1.6,CSV
small intestine,https://cdn.humanatlas.io/digital-objects/asct-b/small-intestine/v1.3/assets/asct-b-vh-small-intestine.csv,v1.3,10,52,38,85,44,41,0,0,0,15,10,82,23,5,68,374,109,https://purl.humanatlas.io/asct-b/small-intestine/v1.3,CSV
spinal cord,https://cdn.humanatlas.io/digital-objects/asct-b/spinal-cord/v1.1/assets/asct-b-vh-spinal-cord.csv,v1.1,32,90,10,68,68,0,0,0,0,0,0,0,82,2,101,44,67,https://purl.humanatlas.io/asct-b/spinal-cord/v1.1,CSV
spleen,https://cdn.humanatlas.io/digital-objects/asct-b/spleen/v1.5/assets/asct-b-vh-spleen.csv,v1.5,5,41,65,154,73,81,0,0,0,13,13,2,4,5,48,420,351,https://purl.humanatlas.io/asct-b/spleen/v1.5,CSV
thymus,https://cdn.humanatlas.io/digital-objects/asct-b/thymus/v1.5/assets/asct-b-vh-thymus.csv,v1.5,3,22,52,366,311,55,0,0,0,0,0,0,5,2,30,243,576,https://purl.humanatlas.io/asct-b/thymus/v1.5,CSV
trachea,https://cdn.humanatlas.io/digital-objects/asct-b/trachea/v1.0/assets/asct-b-vh-trachea.csv,v1.0,4,24,19,81,68,13,0,0,0,0,0,0,6,2,20,50,161,https://purl.humanatlas.io/asct-b/trachea/v1.0,CSV
ureter,https://cdn.humanatlas.io/digital-objects/asct-b/ureter/v1.0/assets/ASCT-B_VH_Ureter.csv,v1.0,3,13,16,31,31,0,0,0,0,1,11,0,7,5,9,42,33,https://purl.humanatlas.io/asct-b/ureter/v1.0,CSV
urinary bladder,https://cdn.humanatlas.io/digital-objects/asct-b/urinary-bladder/v1.0/assets/ASCT-B_VH_Urinary_Bladder.csv,v1.0,4,20,17,31,31,0,0,0,0,0,11,0,11,6,16,57,33,https://purl.humanatlas.io/asct-b/urinary-bladder/v1.0,CSV
uterus,https://cdn.humanatlas.io/digital-objects/asct-b/uterus/v1.2/assets/ASCT-B_VH_Uterus.csv,v1.2,6,65,20,46,40,6,0,0,0,34,17,45,25,3,129,420,65,https://purl.humanatlas.io/asct-b/uterus/v1.2,CSV
